,Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,Vol._sqrt,Tendencia,Target_Tendencia_Amanha,Tendencia_Dia_Anterior,Amplitude_Dia,Variacao_Abertura_Fechamento,Media_Movel_5_dias,Media_Movel_20_dias,Media_Movel_50_dias,RSI,MACD,MACD_Signal,BB_High,BB_Low,BB_Middle,ATR,Diff_Normalizada_MM20,Variacao_Pct_Volume,Dia_da_Semana,Mes,Ano,Ultimo_Fechamento_lag_1_dia,Variacao_Pct_lag_1_dia,Volume_lag_1_dia,Amplitude_Dia_lag_1_dia,Variacao_Abertura_Fechamento_lag_1_dia,Ultimo_Fechamento_lag_2_dias,Variacao_Pct_lag_2_dias,Volume_lag_2_dias,Amplitude_Dia_lag_2_dias,Variacao_Abertura_Fechamento_lag_2_dias,Ultimo_Fechamento_lag_3_dias,Variacao_Pct_lag_3_dias,Volume_lag_3_dias,Amplitude_Dia_lag_3_dias,Variacao_Abertura_Fechamento_lag_3_dias,Ultimo_Fechamento_lag_5_dias,Variacao_Pct_lag_5_dias,Volume_lag_5_dias,Amplitude_Dia_lag_5_dias,Variacao_Abertura_Fechamento_lag_5_dias
118,2025-05-19,139.636,139.186,140.203,138.587,9590000000.0,0.0032,97928.54537876073,Alta,Alta,Baixa,1.6160000000000139,0.44999999999998863,139.1086,135.3607,131.43062,71.91747489634298,2.4140972893616492,2.0495690199390015,140.89503338713877,129.82636661286125,135.3607,1.802258008289112,0.03158449978464936,-0.20809248554913296,0,5,2025,139.187,-0.0011,12110000000.0,1.622000000000014,-0.14799999999999613,139.334,0.0066,11500000000.0,1.086999999999989,0.9089999999999918,138.423,-0.0039000000000000003,11160000000.0,1.1339999999999861,-0.5420000000000016,136.563,0.0004,10920000000.0,1.163000000000011,0.046999999999997044
117,2025-05-20,140.11,139.636,140.244,138.966,9650000000.0,0.0034000000000000002,98234.41352194251,Alta,Baixa,Alta,1.2779999999999916,0.47400000000001796,139.338,135.8837,131.76566,73.02624359204447,2.472962398916337,2.1342476957344685,141.12998261152583,130.63741738847418,135.8837,1.764811007697032,0.031102332362159764,0.006256517205422307,1,5,2025,139.636,0.0032,9590000000.0,1.6160000000000139,0.44999999999998863,139.187,-0.0011,12110000000.0,1.622000000000014,-0.14799999999999613,139.334,0.0066,11500000000.0,1.086999999999989,0.9089999999999918,138.963,0.0176,13070000000.0,2.8689999999999998,2.397999999999996
116,2025-05-21,137.881,140.109,140.109,137.538,10150000000.0,-0.0159,100747.20839804942,Baixa,Baixa,Alta,2.570999999999998,-2.2280000000000086,139.22960000000003,136.25455,132.02258,60.857743361394974,2.3130879132521613,2.170015739238007,140.93392754300697,131.57517245699302,136.25455,1.8224673642901015,0.011936849081370167,0.051813471502590636,2,5,2025,140.11,0.0034000000000000002,9650000000.0,1.2779999999999916,0.47400000000001796,139.636,0.0032,9590000000.0,1.6160000000000139,0.44999999999998863,139.187,-0.0011,12110000000.0,1.622000000000014,-0.14799999999999613,138.423,-0.0039000000000000003,11160000000.0,1.1339999999999861,-0.5420000000000016
115,2025-05-22,137.273,137.881,138.837,137.088,13220000000.0,-0.0044,114978.25881443848,Baixa,Alta,Baixa,1.7489999999999952,-0.6080000000000041,138.8174,136.50740000000002,132.27766000000003,58.01787564806326,2.112968724617815,2.1586063363139685,140.81858458894976,132.19621541105028,136.50740000000002,1.8172196954122366,0.005608487158937741,0.3024630541871922,3,5,2025,137.881,-0.0159,10150000000.0,2.570999999999998,-2.2280000000000086,140.11,0.0034000000000000002,9650000000.0,1.2779999999999916,0.47400000000001796,139.636,0.0032,9590000000.0,1.6160000000000139,0.44999999999998863,139.334,0.0066,11500000000.0,1.086999999999989,0.9089999999999918
114,2025-05-23,137.824,137.273,137.824,134.997,10680000000.0,0.004,103344.08546211051,Alta,Alta,Baixa,2.826999999999998,0.5510000000000161,138.5448,136.6696,132.564,59.846555883678434,1.9760551868032508,2.122096106411825,140.92222156322399,132.41697843677602,136.6696,1.8893468600256482,0.00844664797438501,-0.19213313161875945,4,5,2025,137.273,-0.0044,13220000000.0,1.7489999999999952,-0.6080000000000041,137.881,-0.0159,10150000000.0,2.570999999999998,-2.2280000000000086,140.11,0.0034000000000000002,9650000000.0,1.2779999999999916,0.47400000000001796,139.187,-0.0011,12110000000.0,1.622000000000014,-0.14799999999999613
113,2025-05-26,138.136,137.824,138.8,137.795,5550000000.0,0.0023,74498.3221287567,Alta,Alta,Alta,1.0050000000000239,0.3119999999999834,138.2448,136.83945,132.84944000000002,60.885515459698176,1.8711564869564654,2.0719081825207533,141.04111831032597,132.63778168967403,136.83945,1.826179227166675,0.009474972312443498,-0.4803370786516854,0,5,2025,137.824,0.004,10680000000.0,2.826999999999998,0.5510000000000161,137.273,-0.0044,13220000000.0,1.7489999999999952,-0.6080000000000041,137.881,-0.0159,10150000000.0,2.570999999999998,-2.2280000000000086,139.636,0.0032,9590000000.0,1.6160000000000139,0.44999999999998863
112,2025-05-27,139.541,138.136,140.382,138.136,11190000000.0,0.0102,105782.79633286313,Alta,Baixa,Alta,2.2460000000000093,1.4050000000000011,138.131,137.0657,133.12751999999998,65.24646665932468,1.8797269473391225,2.0334719354844273,141.33699264274847,132.79440735725152,137.0657,1.856166425226199,0.0180592226939344,1.016216216216216,1,5,2025,138.136,0.0023,5550000000.0,1.0050000000000239,0.3119999999999834,137.824,0.004,10680000000.0,2.826999999999998,0.5510000000000161,137.273,-0.0044,13220000000.0,1.7489999999999952,-0.6080000000000041,140.11,0.0034000000000000002,9650000000.0,1.2779999999999916,0.47400000000001796
111,2025-05-28,138.888,139.541,139.547,138.58,9730000000.0,-0.004699999999999999,98640.76236526156,Baixa,Baixa,Alta,0.9669999999999845,-0.6529999999999916,138.33239999999998,137.25545000000002,133.32614,61.79789813513782,1.8129291376977221,1.9893633759270863,141.49641297908826,133.0144870209118,137.25545000000002,1.7926545377100407,0.011894245365120149,-0.1304736371760501,2,5,2025,139.541,0.0102,11190000000.0,2.2460000000000093,1.4050000000000011,138.136,0.0023,5550000000.0,1.0050000000000239,0.3119999999999834,137.824,0.004,10680000000.0,2.826999999999998,0.5510000000000161,137.881,-0.0159,10150000000.0,2.570999999999998,-2.2280000000000086
110,2025-05-29,138.534,138.869,139.108,137.993,8830000000.0,-0.0025,93968.07968666806,Baixa,Baixa,Baixa,1.115000000000009,-0.33500000000000796,138.5846,137.4288,133.48014,59.9480681353521,1.711695194101793,1.9338297395620279,141.58026256637308,133.2773374336269,137.4288,1.7442506421593242,0.008041982466557202,-0.09249743062692706,3,5,2025,138.888,-0.004699999999999999,9730000000.0,0.9669999999999845,-0.6529999999999916,139.541,0.0102,11190000000.0,2.2460000000000093,1.4050000000000011,138.136,0.0023,5550000000.0,1.0050000000000239,0.3119999999999834,137.273,-0.0044,13220000000.0,1.7489999999999952,-0.6080000000000041
109,2025-05-30,137.027,138.546,138.637,136.726,15140000000.0,-0.0109,123044.7073221762,Baixa,Baixa,Baixa,1.9110000000000014,-1.5190000000000055,138.4252,137.52345,133.59118,52.71405616819047,1.4926578286736287,1.8455953573843482,141.54562281950896,133.50127718049103,137.52345,1.7561613105765155,-0.003609929797427348,0.7146092865232163,4,5,2025,138.534,-0.0025,8830000000.0,1.115000000000009,-0.33500000000000796,138.888,-0.004699999999999999,9730000000.0,0.9669999999999845,-0.6529999999999916,139.541,0.0102,11190000000.0,2.2460000000000093,1.4050000000000011,137.824,0.004,10680000000.0,2.826999999999998,0.5510000000000161
